"gene"	"ratio"
"Snhg3"	"Snhg3"	0.187355960810059
"Acap1"	"Acap1"	0.375048973090915
"Rcsd1"	"Rcsd1"	0.0973732987221464
"Snca"	"Snca"	3.25628443524647
"Hist1h1c"	"Hist1h1c"	2.1396326185336
"Coro2a"	"Coro2a"	0.249704509472839
"Cuedc1"	"Cuedc1"	0.0886779100149775
"Mir692-1"	"Mir692-1"	7.97474659013796
"Tnfrsf13b"	"Tnfrsf13b"	0.161302070445809
"Numbl"	"Numbl"	2.70134028393272
"Srgn"	"Srgn"	0.249838360170072
"Tfap4"	"Tfap4"	0.300356804360943
"C2cd2l"	"C2cd2l"	2.17313469975465
"Tmem88b"	"Tmem88b"	17.3889244340265
"Hcls1"	"Hcls1"	0.243286701393192
"Fam83d"	"Fam83d"	3.13730761055324
"Dlc1"	"Dlc1"	0.249063668233912
"Ctsf"	"Ctsf"	19.1573651939339
"Efha1"	"Efha1"	0.0500045306295237
"Ptpru"	"Ptpru"	0.137483560456351
"Fam195a"	"Fam195a"	0.436450903147832
"Sgsm3"	"Sgsm3"	2.51851035565147
"Bzw2"	"Bzw2"	0.316940521805428
"Slc45a3"	"Slc45a3"	0.042696753839733
"Mxi1"	"Mxi1"	2.0869340201415
"Eif2ak1"	"Eif2ak1"	2.03081946487574
"Rrp15"	"Rrp15"	0.345552810334934
"Adcy6"	"Adcy6"	10.2962609045544
"Hebp1"	"Hebp1"	2.62705510411169
"Marcksl1"	"Marcksl1"	0.266353184328228
"Smyd5"	"Smyd5"	0.113051266782062
"Serf1"	"Serf1"	0.327529394540075
"Gm10052"	"Gm10052"	0.0492925919725272
"Hyal1"	"Hyal1"	8.51128550829345
"Fabp5"	"Fabp5"	0.32709653553893
"Rasl11a"	"Rasl11a"	0.311821132112594
"Ube2h"	"Ube2h"	2.22713063101238
"Phlda2"	"Phlda2"	0.27521223738439
"Ppard"	"Ppard"	2.10359156996471
"Itfg3"	"Itfg3"	3.01979660822597
"Cdca7"	"Cdca7"	0.443726145842262
"Map3k6"	"Map3k6"	0.277992723256798
"Insl3"	"Insl3"	0.0724723417699976
"Gm13157"	"Gm13157"	0.144480648769439
"Samsn1"	"Samsn1"	0.181872217980325
"Rgs19"	"Rgs19"	0.0768072775312056
"Kat2a"	"Kat2a"	0.332234254044836
"Elf1"	"Elf1"	2.47064588157255
"Bri3bp"	"Bri3bp"	0.303588452425828
"March8"	"March8"	2.63602734936885
"Dusp8"	"Dusp8"	19.8786049738044
"Bach1"	"Bach1"	2.5686867921589
"Cpa3"	"Cpa3"	0.291464985589376
"Lpcat4"	"Lpcat4"	0.114267339672632
"Nudt18"	"Nudt18"	2.25781969061129
"Tsc22d1"	"Tsc22d1"	4.12388831298285
"Sox12"	"Sox12"	0.291950306928343
"Slc19a1"	"Slc19a1"	0.136477528203647
"Capn5"	"Capn5"	21.5083093021928
"E130308A19Rik"	"E130308A19Rik"	2.09816876791172
"Spint2"	"Spint2"	0.241456482153254
"Tcp11l1"	"Tcp11l1"	4.00255284533634
"Trp53inp2"	"Trp53inp2"	3.59830249590297
"1810014F10Rik"	"1810014F10Rik"	0.0671048715955466
"Creb3l3"	"Creb3l3"	16.732946674102
"Stat5a"	"Stat5a"	0.385673890317651
"Rnf103"	"Rnf103"	2.14328306106462
"Cdr2"	"Cdr2"	2.50282246217675
"Fyn"	"Fyn"	0.370441387686346
"Hells"	"Hells"	0.381030034546054
"Stard8"	"Stard8"	0.2939275951042
"Sigmar1"	"Sigmar1"	0.316965809582338
"Cpeb2"	"Cpeb2"	2.93110503592152
"Rab4a"	"Rab4a"	4.09149463870129
"Slc30a1"	"Slc30a1"	2.08358713212171
"Unc5cl"	"Unc5cl"	0.0613961977410699
"Chsy1"	"Chsy1"	3.51360888148072
"Arhgef10l"	"Arhgef10l"	0.0432137040060888
"Cdk6"	"Cdk6"	0.283885949999193
"Rcn3"	"Rcn3"	7.15390420172139
"Npl"	"Npl"	0.0437513594413311
"Me1"	"Me1"	4.18960367812625
"Crlf1"	"Crlf1"	22.8924568597465
"Slc16a10"	"Slc16a10"	2.77806734637189
"Etv5"	"Etv5"	0.150637680486178
"C2cd4a"	"C2cd4a"	0.419437273623063
"Sipa1l1"	"Sipa1l1"	0.349138519579158
"Vps37a"	"Vps37a"	3.23400890723468
"Gadd45g"	"Gadd45g"	2.21387292028381
"Tbx6"	"Tbx6"	4.67353776509216
"Ccdc102a"	"Ccdc102a"	0.0441499596922211
"Rcbtb2"	"Rcbtb2"	0.192719328806636
"Stk10"	"Stk10"	0.194432248390226
"Dennd1c"	"Dennd1c"	0.0737610419776016
"Tubb3"	"Tubb3"	11.3249133932041
"1700097N02Rik"	"1700097N02Rik"	0.060314649124004
"Mki67ip"	"Mki67ip"	0.384797989295352
"Stom"	"Stom"	2.98479855163647
"Hif3a"	"Hif3a"	0.394919011273269
"Zfp710"	"Zfp710"	0.289797030322351
"Lst1"	"Lst1"	0.323686699827564
"Gstt2"	"Gstt2"	2.03897671474745
"Cyba"	"Cyba"	0.497963124661464
"Rgs12"	"Rgs12"	3.357279133918
"Npm3"	"Npm3"	0.362124821973598
"Aacs"	"Aacs"	0.160867327151873
"Des"	"Des"	0.062736615253746
"Gpatch4"	"Gpatch4"	0.4136111095329
"Ctsb"	"Ctsb"	2.22690967518966
"Gm16515"	"Gm16515"	2.12885624319602
"Dstyk"	"Dstyk"	2.91779255440109
"Nop2"	"Nop2"	0.491944997393404
"Slc41a3"	"Slc41a3"	0.415218775109457
"Rit1"	"Rit1"	2.25694412151282
"Gdpd1"	"Gdpd1"	9.78375954162506
"Slc26a11"	"Slc26a11"	2.40497475375394
"Timp3"	"Timp3"	0.171060769698146
"Bid"	"Bid"	0.391848090884321
"Snhg4"	"Snhg4"	0.178769968425091
"Fam57b"	"Fam57b"	18.6375245040474
"Rsl1d1"	"Rsl1d1"	0.452521119518511
"Arhgap9"	"Arhgap9"	0.356343030828399
"Lat"	"Lat"	0.151428879601951
"Tgm1"	"Tgm1"	0.0894383855059089
"Ninl"	"Ninl"	3.15224729143505
"Mettl1"	"Mettl1"	0.392314206673704
"Jak3"	"Jak3"	0.320588429374757
"5730408K05Rik"	"5730408K05Rik"	0.331321742918474
"Pdxk"	"Pdxk"	0.247238198744875
"Ptprs"	"Ptprs"	0.061324323425491
"Stx2"	"Stx2"	2.1559119208165
"Pxmp4"	"Pxmp4"	2.00278273221096
"Ccnd2"	"Ccnd2"	0.499078948876632
"Fam63b"	"Fam63b"	2.10815673210735
"Heca"	"Heca"	2.05873774049206
"Atp8a1"	"Atp8a1"	2.75581981281282
"Rsc1a1"	"Rsc1a1"	0.256294645789616
"Osr2"	"Osr2"	2.69671357264569
"Tulp2"	"Tulp2"	4.97684129321436
"Lgr4"	"Lgr4"	4.56686958966189
"Mfsd7b"	"Mfsd7b"	2.70295871954446
"Slc22a23"	"Slc22a23"	2.10753984485667
"St6galnac4"	"St6galnac4"	0.190364461490885
"Prodh"	"Prodh"	0.10371521276426
"Ccdc8"	"Ccdc8"	0.278593821076882
"Fbxo44"	"Fbxo44"	2.59371221246561
"Gcsh"	"Gcsh"	0.492827266837438
"Dus4l"	"Dus4l"	0.226775342191609
"Igf1r"	"Igf1r"	0.246735258822848
"Rps29"	"Rps29"	0.267437371510626
"Sema6c"	"Sema6c"	4.81623510198779
"5830405N20Rik"	"5830405N20Rik"	0.345144326431954
"Mxd1"	"Mxd1"	2.27916860628244
"Soat2"	"Soat2"	3.76088282492116
"Igsf8"	"Igsf8"	0.38012073765598
"Eef1g"	"Eef1g"	0.462110221236598
"Il4ra"	"Il4ra"	0.319254689786429
"Kif21b"	"Kif21b"	0.245838865308226
"Rps6ka1"	"Rps6ka1"	0.114955626071597
"Dnmt3b"	"Dnmt3b"	0.246971662263276
"Hist1h2bc"	"Hist1h2bc"	2.1275086646293
"Fhdc1"	"Fhdc1"	4.32177224824778
