Cxxc5	0.137734694
Ptpru	0.13748356
Slc19a1	0.136477528
Arap3	0.126918668
Nefh	0.12429133
St8sia4	0.117761701
Rps6ka1	0.114955626
Lpcat4	0.11426734
Smyd5	0.113051267
Idh2	0.109241555
Myb	0.108674629
Ptpn6	0.108583013
Prodh	0.103715213
Atp2a3	0.098441516
Rcsd1	0.097373299
Tgm1	0.089438386
Cuedc1	0.08867791
Myo1g	0.079799909
Rgs19	0.076807278
Dennd1c	0.073761042
Insl3	0.072472342
Alox5	0.068712387
1810014F10Rik	0.067104872
Fkbp11	0.065541252
Lcp2	0.064560211
Des	0.062736615
Unc5cl	0.061396198
Ptprs	0.061324323
1700097N02Rik	0.060314649
Tgm2	0.055632462
E130012A19Rik	0.050393915
Efha1	0.050004531
Zfp362	0.049916237
Gm10052	0.049292592
Wls	0.04502079
Ptrf	0.04418429
Ccdc102a	0.04414996
Npl	0.043751359
Arhgef10l	0.043213704
Slc45a3	0.042696754
Il1rl1	0.042184403
Fgf3	0.04208089
Fgf15	0.038069115
Erv3	0.031258779
Pisd-ps3	0.025728965
ratio	
